Project Name,Package Name,Type Name,Method Name,Code Smell
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentTreeRewriter,rewrite,Complex Method
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceImplTest,testShallowApply,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceImplTest,testShallowApply,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceImplTest,testDeepApply,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceOakTest,testShallowAggregateOnlyChild,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceOakTest,testShallowAggregateFirstNode,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentTreeRewriterTest,preservesOrder,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentTreeRewriterTest,infiniteLoop,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.component.job,ComponentJobExecutorTest,testDoProcessSuccesses,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.component.job,ComponentJobExecutorTest,testDoProcessSuccesses,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.component.job,ComponentJobExecutorTest,testDoProcessSuccesses,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.component.job,ComponentJobExecutorTest,testDoProcessSuccesses,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.component.job,ComponentJobExecutorTest,testDoProcessFailures,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.component.job,ComponentJobExecutorTest,testDoProcessFailures,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.component.job,ComponentJobExecutorTest,testDoProcessFailures,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.component.job,ComponentJobExecutorTest,testDoProcessFailures,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRule,matches,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRule,processResponsiveGrid,Complex Method
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRule,hasPattern,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRule,activate,Complex Method
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRule,activate,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRule,activate,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRule,activate,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRuleTest,activation,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRuleTest,activation,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRuleTest,activation,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRuleTest,activation,Long Statement
