Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
aem-modernize-tools,com.adobe.aem.modernize.component,ComponentRewriteRuleService,apply,0,1,3
aem-modernize-tools,com.adobe.aem.modernize.component,ComponentRewriteRuleService,apply,0,1,2
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceImpl,getSearchPaths,3,1,0
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceImpl,apply,16,2,3
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceImpl,apply,28,5,2
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceImpl,findPrevName,12,3,2
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceImpl,orderParent,17,4,3
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceImpl,bindRule,4,1,2
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceImpl,unbindRule,4,1,2
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceImpl,activate,3,1,1
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentTreeRewriter,rewrite,48,10,2
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceImplTest,beforeEach,23,2,0
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceImplTest,testShallowApply,27,1,0
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceImplTest,$init,4,1,1
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceImplTest,matches,3,1,1
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceImplTest,applyTo,4,1,2
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceImplTest,getRanking,3,1,0
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceImplTest,testDeepApply,16,1,0
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceImplTest,rewrite,6,1,2
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceOakTest,beforeEach,8,1,0
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceOakTest,testIssue_119_beginning,19,1,0
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceOakTest,testIssue_119_middle,19,1,0
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceOakTest,testIssue_119_end,19,1,0
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceOakTest,testShallowKeepsOrder,20,1,0
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceOakTest,testShallowAggregateKeepsOrder,18,1,0
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceOakTest,testShallowAggregateOnlyChild,11,1,0
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentRewriteRuleServiceOakTest,testShallowAggregateFirstNode,12,1,0
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentTreeRewriterTest,preservesOrder,24,1,0
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentTreeRewriterTest,skipsFinalPaths,20,1,0
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentTreeRewriterTest,infiniteLoop,12,1,0
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentTreeRewriterTest,SetRootFinalRewriteRule,3,1,1
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentTreeRewriterTest,getId,3,1,0
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentTreeRewriterTest,matches,6,2,1
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentTreeRewriterTest,applyTo,4,1,2
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentTreeRewriterTest,getId,3,1,0
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentTreeRewriterTest,matches,3,1,1
aem-modernize-tools,com.adobe.aem.modernize.component.impl,ComponentTreeRewriterTest,applyTo,4,1,2
aem-modernize-tools,com.adobe.aem.modernize.component.impl,SetRootFinalRewriteRule,SetRootFinalRewriteRule,3,1,1
aem-modernize-tools,com.adobe.aem.modernize.component.impl,SetRootFinalRewriteRule,getId,3,1,0
aem-modernize-tools,com.adobe.aem.modernize.component.impl,SetRootFinalRewriteRule,matches,6,2,1
aem-modernize-tools,com.adobe.aem.modernize.component.impl,SetRootFinalRewriteRule,applyTo,4,1,2
aem-modernize-tools,com.adobe.aem.modernize.component.impl,NoOpRewriteRule,getId,3,1,0
aem-modernize-tools,com.adobe.aem.modernize.component.impl,NoOpRewriteRule,matches,3,1,1
aem-modernize-tools,com.adobe.aem.modernize.component.impl,NoOpRewriteRule,applyTo,4,1,2
aem-modernize-tools,com.adobe.aem.modernize.component.job,ComponentJobExecutor,doProcess,33,5,3
aem-modernize-tools,com.adobe.aem.modernize.component.job,ComponentJobExecutor,getResourceResolverFactory,3,1,0
aem-modernize-tools,com.adobe.aem.modernize.component.job,ComponentJobExecutorTest,beforeEach,6,1,0
aem-modernize-tools,com.adobe.aem.modernize.component.job,ComponentJobExecutorTest,testDoProcessSuccesses,23,1,0
aem-modernize-tools,com.adobe.aem.modernize.component.job,ComponentJobExecutorTest,testDoProcessFailures,23,1,0
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRule,getTitle,10,2,0
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRule,getId,3,1,0
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRule,matches,26,5,1
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRule,applyTo,8,2,2
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRule,getRanking,3,1,0
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRule,processResponsiveGrid,57,11,1
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRule,processContainer,32,6,2
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRule,getColumnContent,20,4,1
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRule,isColumnNode,6,2,1
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRule,addResponsive,18,5,4
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRule,findFirstColumn,22,6,1
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRule,findMatches,23,4,1
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRule,visit,15,4,1
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRule,hasPattern,4,1,1
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRule,activate,55,10,2
aem-modernize-tools,com.adobe.aem.modernize.component.rule,ColumnControlRewriteRuleTest,checkResponsive,12,1,1
